,ndc_description,ndc_description_agg,score
204,HYDROXYZINE HCL 10MG TABLET,,-1
205,METAXALONE 800MG TABLET,METAXALONE 800MG ORAL,86
206,BELBUCA 450MCG FILM,,-1
207,GLIPIZIDE 5MG TABLET,,-1
208,DIGITEK 125MCG TABLET,,-1
209,CALCITRIOL 0.5MCG CAPSULE,CALCITRIOL 0.5MCG ORAL,87
210,TRAMADOL HCL 50MG TABLET,,-1
211,AVODART 0.5MG SOFTGEL,,-1
212,VYTORIN 10-40MG TABLET,,-1
213,NITROGLYCERIN LINGUAL 0.4MG,NITROGLYCERIN 0.4MG SUBLINGUAL,95
214,HM FEXOFENADINE HCL 180MG TABLET,,-1
215,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
216,CLONIDINE HCL 0.2MG TABLET,,-1
217,DULOXETINE HCL DR 30MG CAP,,-1
218,MAGNESIUM CITRATE SOLUTION,,-1
219,DEXTROAMP-AMPHET ER 20MG CAP,,-1
220,ARIPIPRAZOLE 30MG TABLET,ARIPIPRAZOLE 30MG ORAL,87
221,DULOXETINE HCL DR 60MG CAP,,-1
222,DASETTA 1-35-28 TABLET,,-1
223,LEVOFLOXACIN 250MG TABLET,LEVOFLOXACIN 250MG ORAL,88
224,ATENOLOL 25MG TABLET,,-1
225,FOLIC ACID 1MG TABLET,,-1
226,BACLOFEN 10MG TABLET,,-1
227,DOXEPIN 100MG CAPSULE,,-1
228,FOLIC ACID 1MG TABLET,,-1
229,RIZATRIPTAN 5MG TABLET,,-1
230,FELODIPINE ER 10MG TABLET,FELODIPINE 10MG ORAL,86
231,VENLAFAXINE HCL 75MG TABLET,,-1
232,VIAGRA 100MG TABLET,,-1
233,LEVORA-28 TABLET,,-1
234,LITHIUM CARBONATE ER 300MG TB,LITHIUM CARBONATE 300MG ORAL,90
235,OMEPRAZOLE DR 20MG TABLET,OMEPRAZOLE 20MG ORAL,86
236,CARISOPRODOL 350MG TABLET,CARISOPRODOL 350MG ORAL,88
237,POTASSIUM CL ER 10 MEQ TABLET,,-1
238,ABACAVIR 300MG TABLET,,-1
239,BACLOFEN 10MG TABLET,,-1
240,CITALOPRAM HBR 40MG TABLET,,-1
241,PRASUGREL 10MG TABLET,,-1
242,OMEPRAZOLE DR 20MG CAPSULE,OMEPRAZOLE 20MG ORAL,86
243,MULTAQ 400MG TABLET,,-1
244,CLOZAPINE 100MG TABLET,CLOZAPINE 100MG ORAL,86
245,VALACYCLOVIR HCL 1 GRAM TABLET,,-1
246,BUPROPION HCL XL 150MG TABLET,,-1
247,LAMOTRIGINE 100MG TABLET,LAMOTRIGINE 100MG ORAL,87
248,RIZATRIPTAN 10MG TABLET,,-1
249,OXYBUTYNIN CL ER 10MG TABLET,,-1
250,ACARBOSE 50MG TABLET,,-1
251,ATORVASTATIN 10MG TABLET,,-1
252,DILTIAZEM 24HR ER 180MG CAP,,-1
253,PROPYLTHIOURACIL 50MG TABLET,PROPYLTHIOURACIL 50MG ORAL,89
254,OMEPRAZOLE DR 20MG TABLET,OMEPRAZOLE 20MG ORAL,86
255,SM GENTLE LAXATIVE EC 5MG TABLET,,-1
256,PAIN RELIEF 500MG TABLET,,-1
257,ALOGLIPTIN-METFORMIN 12.5-1000,,-1
258,VALACYCLOVIR HCL 500MG TABLET,,-1
259,SERTRALINE HCL 100MG TABLET,,-1
260,LABETALOL HCL 200MG TABLET,,-1
261,FOLIC ACID 1MG TABLET,,-1
262,SERTRALINE HCL 50MG TABLET,,-1
263,NORA-BE TABLET,,-1
264,DILTIAZEM 24HR ER 300MG CAP,,-1
265,VERAPAMIL 120MG TABLET,,-1
266,PALIPERIDONE ER 6MG TABLET,PALIPERIDONE 6MG ORAL,86
267,VERAPAMIL ER 120MG TABLET,,-1
268,ESTRADIOL 0.5MG TABLET,ESTRADIOL 0.5MG ORAL,86
269,MENEST 0.3MG TABLET,,-1
270,METOCLOPRAMIDE 5MG TABLET,,-1
271,VALACYCLOVIR HCL 500MG TABLET,,-1
272,PREDNISONE 1MG TABLET,,-1
273,GABAPENTIN 100MG CAPSULE,GABAPENTIN 100MG ORAL,86
274,QUETIAPINE FUMARATE 50MG TABLET,QUETIAPINE FUMARATE EQ 50MG BASE ORAL,87
275,LEVONEST-28 TABLET,,-1
276,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
277,QUETIAPINE FUMARATE 400MG TABLET,QUETIAPINE FUMARATE EQ 400MG BASE ORAL,88
278,RIFAMPIN 300MG CAPSULE,,-1
279,PROMETHAZINE 25MG TABLET,,-1
280,OMEPRAZOLE DR 10MG CAPSULE,OMEPRAZOLE 10MG ORAL,86
281,NICORETTE 4MG CHEWING GUM,,-1
282,ALCLOMETASONE DIPRO 0.05% CREAM,,-1
283,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
284,DIGOXIN 250MCG TABLET,,-1
285,LACTULOSE 10 GM/15ML SOLUTION,,-1
286,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
287,PHENTERMINE 37.5MG TABLET,,-1
288,LEVETIRACETAM 250MG TABLET,LEVETIRACETAM 250MG ORAL,88
289,DIAZEPAM 5MG TABLET,,-1
290,BUPROPION HCL XL 300MG TABLET,,-1
291,ZOLMITRIPTAN 2.5MG ODT,ZOLMITRIPTAN 2.5MG ORAL,90
292,TRIAZOLAM 0.125MG TABLET,TRIAZOLAM 0.125MG ORAL,87
293,EPLERENONE 50MG TABLET,EPLERENONE 50MG ORAL,86
294,BETAMETHASONE VA 0.1% CREAM,,-1
295,RALOXIFENE HCL 60MG TABLET,,-1
296,FUROSEMIDE 40MG TABLET,FUROSEMIDE 40MG ORAL,86
297,BUPROPION HCL 100MG TABLET,,-1
298,INFANT PAIN-FEVER 160MG/5ML,,-1
299,RIVASTIGMINE 6MG CAPSULE,,-1
300,CLOBETASOL 0.05% CREAM,,-1
301,CARVEDILOL 25MG TABLET,CARVEDILOL 25MG ORAL,86
302,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
303,PRIMIDONE 50MG TABLET,,-1
304,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
305,"NYSTATIN 100,000 UNIT/GM OINT","NYSTATIN 100,000 UNITS/GM TOPICAL",87
306,DESOXIMETASONE 0.25% CREAM,DESOXIMETASONE 0.25% TOPICAL,86
307,EZETIMIBE 10MG TABLET,,-1
308,VENLAFAXINE HCL 25MG TABLET,,-1
309,ACETAMINOPHEN-COD #3 TABLET,,-1
310,"LEVETIRACETAM 1,000MG TABLET",,-1
311,ROPINIROLE HCL ER 8MG TABLET,,-1
312,"NYSTATIN 100,000 UNIT/GM CREAM","NYSTATIN 100,000 UNITS/GM TOPICAL",86
313,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
314,BROMPHENIR-PSEUDOEPHED-DM SYRINGE,,-1
315,PHENTERMINE 15MG CAPSULE,,-1
316,METFORMIN HCL 850MG TABLET,,-1
317,WARFARIN SODIUM 5MG TABLET,WARFARIN SODIUM 5MG ORAL,88
318,NIFEDIPINE ER 60MG TABLET,NIFEDIPINE 60MG ORAL,86
319,BETHANECHOL 10MG TABLET,,-1
320,CAMBIA 50MG POWDER PACKET,,-1
321,SEROQUEL XR 200MG TABLET,,-1
322,BUMETANIDE 2MG TABLET,,-1
323,DICLOFENAC 1.5% TOPICAL SOLUTION,DICLOFENAC SODIUM 1.5% TOPICAL,87
324,"KAZANO 12.5-1,000MG TABLET",,-1
325,LEVETIRACETAM 250MG TABLET,LEVETIRACETAM 250MG ORAL,88
326,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
327,TROSPIUM CHLORIDE 20MG TABLET,TROSPIUM CHLORIDE 20MG ORAL,90
328,RHOPRESSA 0.02% OPHTH SOLUTION,,-1
329,QUETIAPINE FUMARATE 300MG TABLET,QUETIAPINE FUMARATE EQ 300MG BASE ORAL,88
330,CHATEAL EQ-28 TABLET,,-1
331,MYCOPHENOLIC ACID DR 180MG TB,MYCOPHENOLIC ACID 180MG ORAL,90
332,TAMOXIFEN 10MG TABLET,,-1
333,PHENASEPTIC 1.4% SPRAY,,-1
334,MECLIZINE 25MG TABLET,,-1
335,DILTIAZEM 24HR ER 240MG CAP,,-1
336,BROMOCRIPTINE 2.5MG TABLET,,-1
337,SYNTHROID 125MCG TABLET,,-1
338,BUPROPION HCL 100MG TABLET,,-1
339,MAGNESIUM OXIDE 400MG TABLET,,-1
340,OSELTAMIVIR PHOS 45MG CAPSULE,,-1
341,CYCLOSPORINE MODIFIED 100MG/ML,CYCLOSPORINE 100MG/ML ORAL,89
342,NORTRIPTYLINE HCL 75MG CAP,,-1
343,ZALEPLON 5MG CAPSULE,,-1
344,CYCLOBENZAPRINE 5MG TABLET,,-1
345,ARIPIPRAZOLE 30MG TABLET,ARIPIPRAZOLE 30MG ORAL,87
346,PALIPERIDONE ER 1.5MG TABLET,PALIPERIDONE 1.5MG ORAL,88
347,HYDROMORPHONE 4MG TABLET,,-1
348,FINASTERIDE 5MG TABLET,FINASTERIDE 5MG ORAL,86
349,FENOFIBRATE 48MG TABLET,FENOFIBRATE 48MG ORAL,86
350,"NIACIN ER 1,000MG TABLET",,-1
351,QC ASPIRIN 325MG TABLET,,-1
352,FUROSEMIDE 80MG TABLET,FUROSEMIDE 80MG ORAL,86
353,LEVOFLOXACIN 500MG TABLET,LEVOFLOXACIN 500MG ORAL,88
354,LANSOPRAZOLE DR 30MG CAPSULE,LANSOPRAZOLE 30MG ORAL,87
355,METOPROLOL TARTRATE 25MG TABLET,METOPROLOL TARTRATE 25MG ORAL,91
356,SIMVASTATIN 40MG TABLET,SIMVASTATIN 40MG ORAL,86
357,CHLORTHALIDONE 50MG TABLET,CHLORTHALIDONE 50MG ORAL,88
358,VERAPAMIL 80MG TABLET,,-1
359,VALSARTAN 320MG TABLET,VALSARTAN 320MG ORAL,86
360,PIOGLITAZONE-METFORMIN 15-850,PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDE 500MG;EQ 15MG BASE ORAL,86
361,IPRATROPIUM-ALBUTEROL 0.5-3(2.5)MG/3ML,,-1
362,CLOTRIMAZOLE 1% CREAM,,-1
363,PANTOPRAZOLE SOD DR 40MG TABLET,,-1
364,GLYBURIDE 2.5MG TABLET,GLYBURIDE 2.5MG ORAL,86
365,ZIPRASIDONE HCL 40MG CAPSULE,,-1
366,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
367,ZOLPIDEM TARTRATE 10MG TABLET,ZOLPIDEM TARTRATE 10MG ORAL,90
368,ABACAVIR 300MG TABLET,,-1
369,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
370,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
371,METHYLPHENIDATE 20MG TABLET,,-1
372,METHAMPHETAMINE 5MG TABLET,,-1
373,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
374,TRETINOIN 0.1% CREAM,,-1
375,CUVPOSA 1MG/5ML SOLUTION,CUVPOSA 1MG/5ML ORAL,86
376,ACETAMINOPHEN-COD #2 TABLET,,-1
377,HYDROXYZINE HCL 50MG TABLET,,-1
378,CIPROFLOXACIN 0.3% EYE DROP,,-1
379,NICOTINE 4MG CHEWING GUM,,-1
380,LISINOPRIL 2.5MG TABLET,LISINOPRIL 2.5MG ORAL,86
381,FLUOCINONIDE 0.05% SOLUTION,,-1
382,CEFUROXIME AXETIL 500MG TABLET,CEFUROXIME AXETIL EQ 500MG BASE ORAL,87
383,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
384,NAMENDA XR 28MG CAPSULE,NAMENDA XR 28MG ORAL,86
385,TELMISARTAN 40MG TABLET,TELMISARTAN 40MG ORAL,86
386,CEFDINIR 250MG/5ML SUSP,CEFDINIR 250MG/5ML ORAL,88
387,KETOCONAZOLE 2% CREAM,,-1
388,NITROGLYCERIN 0.4MG TABLET SUB-LINGUAL,,-1
389,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
390,CHLORDIAZEPOXIDE 10MG CAPSULE,,-1
391,TORSEMIDE 10MG TABLET,,-1
392,BUSPIRONE HCL 10MG TABLET,,-1
393,BUPROPION HCL SR 200MG TABLET,,-1
394,DIOCTO 60MG/15ML SYRUP,,-1
395,RIZATRIPTAN 10MG TABLET,,-1
396,DILTIAZEM 24HR ER 120MG CAP,,-1
397,MINOCYCLINE 75MG CAPSULE,,-1
398,GLYCOPYRROLATE 1MG TABLET,GLYCOPYRROLATE 1MG ORAL,88
399,CAMRESE LO TABLET,,-1
400,OLMESARTAN MEDOXOMIL 40MG TABLET,OLMESARTAN MEDOXOMIL 40MG ORAL,91
401,VRAYLAR 1.5MG CAPSULE,,-1
402,WARFARIN SODIUM 3MG TABLET,WARFARIN SODIUM 3MG ORAL,88
403,LABETALOL HCL 200MG TABLET,,-1
404,DILTIAZEM ER 120MG CAPSULE,,-1
405,MONTELUKAST SOD 4MG TAB CHEWABLE,,-1
