,ndc_description,ndc_description_agg,score
146,OZEMPIC 1MG DOSE PEN,,-1
147,ADDERALL 10MG TABLET,,-1
148,IRBESARTAN 75MG TABLET,IRBESARTAN 75MG ORAL,86
149,RISPERIDONE 0.25MG TABLET,RISPERIDONE 0.25MG ORAL,88
150,SUCRALFATE 1 GM TABLET,,-1
151,AUBRA-28 TABLET,,-1
152,NITROFURANTOIN MCR 100MG CAP,NITROFURANTOIN 100MG ORAL,89
153,LISINOPRIL 5MG TABLET,,-1
154,FUROSEMIDE 20MG TABLET,FUROSEMIDE 20MG ORAL,86
155,TRAMADOL HCL 50MG TABLET,,-1
156,AMOX-CLAV 200-28.5MG/5ML SUS,,-1
157,PHILITH 0.4-0.035MG TABLET,,-1
158,AMITRIPTYLINE HCL 50MG TABLET,,-1
159,HM ADULT TUSSIN DM SYRUP,,-1
160,GUANFACINE HCL ER 1MG TABLET,,-1
161,MODAFINIL 200MG TABLET,MODAFINIL 200MG ORAL,86
162,POTASSIUM CL ER 10 MEQ TABLET,,-1
163,CLONAZEPAM 0.5MG TABLET,CLONAZEPAM 0.5MG ORAL,86
164,LISINOPRIL 10MG TABLET,LISINOPRIL 10MG ORAL,86
165,ONDANSETRON HCL 8MG TABLET,ONDANSETRON 8MG ORAL,86
166,PROGESTERONE 200MG CAPSULE,PROGESTERONE 200MG ORAL,88
167,ZIPRASIDONE HCL 20MG CAPSULE,,-1
168,SUBOXONE 4MG-1MG SL FILM,,-1
169,HYDROXYZINE HCL 10MG TABLET,,-1
170,CARVEDILOL 25MG TABLET,CARVEDILOL 25MG ORAL,86
171,RITALIN LA 40MG CAPSULE,RITALIN LA 40MG ORAL,86
172,MECLIZINE 25MG TABLET,,-1
173,LOSARTAN POTASSIUM 50MG TABLET,LOSARTAN POTASSIUM 50MG ORAL,90
174,QUETIAPINE ER 150MG TABLET,,-1
175,AMITRIPTYLINE HCL 10MG TABLET,,-1
176,HYDROMORPHONE HCL ER 16MG TABLET,,-1
177,ALLERGY RELIEF 10MG TABLET,,-1
178,ROPINIROLE HCL 0.5MG TABLET,,-1
179,FAMOTIDINE 20MG TABLET,FAMOTIDINE 20MG ORAL,86
180,AZITHROMYCIN 250MG TABLET,,-1
181,CLARITHROMYCIN 500MG TABLET,CLARITHROMYCIN 500MG ORAL,89
182,VALSARTAN 160MG TABLET,VALSARTAN 160MG ORAL,86
183,KETOCONAZOLE 2% CREAM,,-1
184,FLUOCINONIDE-E 0.05% CREAM,,-1
185,TUMS TABLET CHEWABLE,,-1
186,IRBESARTAN 300MG TABLET,IRBESARTAN 300MG ORAL,86
187,HYDROXYZINE HCL 10MG TABLET,,-1
188,METHYLPHENIDATE ER 27MG TABLET,,-1
189,FEMRING 0.10MG/DAY VAG RING,,-1
190,HM NIGHT TIME LIQUID CAP,,-1
191,HM LICE KILLING SHAMPOO,,-1
192,ASPIRIN EC 81MG TABLET,,-1
193,MOXEZA 0.5% EYE DROPS,,-1
194,NORTRIPTYLINE HCL 50MG CAP,,-1
195,CLINDAMYCIN 2% VAGINAL CREAM,CLINDAMYCIN PHOSPHATE EQ 2% BASE VAGINAL,88
196,TIVICAY 50MG TABLET,,-1
197,IMIQUIMOD 5% CREAM PACKET,,-1
198,BENAZEPRIL HCL 20MG TABLET,,-1
199,NICORETTE 2MG CHEWING GUM,,-1
200,FENTANYL 75MCG/HR PATCH,,-1
201,DIAZEPAM 2MG TABLET,,-1
202,SIMVASTATIN 10MG TABLET,SIMVASTATIN 10MG ORAL,86
203,TERAZOSIN 10MG CAPSULE,,-1
204,NICOTINE 2MG CHEWING GUM,,-1
205,CLINDAMYCIN PH 1% GEL,,-1
206,METHYLPHENIDATE 20MG TABLET,,-1
207,MINIVELLE 0.1MG PATCH,,-1
208,PIOGLITAZONE HCL 30MG TABLET,,-1
209,ATENOLOL 25MG TABLET,,-1
210,AMLODIPINE-BENAZEPRIL 2.5-10,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,90
211,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
212,NEUPRO 3MG/24 HR PATCH,,-1
213,VALGANCICLOVIR 450MG TABLET,,-1
214,MEDROXYPROGESTERONE 150MG/ML,MEDROXYPROGESTERONE ACETATE 150MG/ML INJECTION,100
215,ESOMEPRAZOLE MAG DR 40MG CAP,,-1
216,CILOSTAZOL 50MG TABLET,CILOSTAZOL 50MG ORAL,86
217,RIVASTIGMINE 3MG CAPSULE,,-1
218,METFORMIN HCL 850MG TABLET,,-1
219,IBU-DROPS 40MG/ML SUSP DRPS,,-1
220,TRUSOPT 2% EYE DROPS,,-1
221,LUMIGAN 0.01% EYE DROPS,,-1
222,VOL-CARE RX TABLET,,-1
223,METOPROLOL SUCC ER 200MG TABLET,,-1
224,LINEZOLID 600MG TABLET,LINEZOLID 600MG ORAL,86
225,PAROXETINE HCL 30MG TABLET,,-1
226,BUPROPION HCL XL 150MG TABLET,,-1
227,PENICILLIN VK 500MG TABLET,,-1
228,SIMVASTATIN 80MG TABLET,SIMVASTATIN 80MG ORAL,86
229,NIGHT COLD-FLU RELIEF LIQ GEL,,-1
230,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
231,ALFUZOSIN HCL ER 10MG TABLET,,-1
232,GEMFIBROZIL 600MG TABLET,GEMFIBROZIL 600MG ORAL,87
233,OLMESARTAN MEDOXOMIL 40MG TABLET,OLMESARTAN MEDOXOMIL 40MG ORAL,91
234,TRAMADOL ER 100MG TABLET,,-1
235,CELECOXIB 50MG CAPSULE,,-1
236,RESTASIS 0.05% EYE EMULSION,,-1
237,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
238,OMEPRAZOLE DR 10MG CAPSULE,OMEPRAZOLE 10MG ORAL,86
239,BACLOFEN 20MG TABLET,,-1
240,MORPHINE SULF ER 30MG TABLET,,-1
241,SM ALL DAY ALLERGY 10MG TABLET,,-1
242,CLOPIDOGREL 75MG TABLET,,-1
243,DISOPYRAMIDE 150MG CAPSULE,,-1
244,AMOX-CLAV 400-57MG/5ML SUSP,,-1
245,"INVOKAMET 150-1,000MG TABLET",,-1
246,PHENDIMETRAZINE 35MG TABLET,,-1
247,"METFORMIN HCL 1,000MG TABLET",,-1
248,FUROSEMIDE 20MG TABLET,FUROSEMIDE 20MG ORAL,86
249,NICOTINE 4MG MINI LOZENGE,,-1
250,ACYCLOVIR 800MG TABLET,ACYCLOVIR 800MG ORAL,86
251,TERAZOSIN 2MG CAPSULE,,-1
252,DOXYCYCLINE HYCLATE 100MG TABLET,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,88
253,FLUCONAZOLE 100MG TABLET,FLUCONAZOLE 100MG ORAL,87
254,HYDROCODONE-ACETAMINOPHEN 5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,87
255,TINIDAZOLE 500MG TABLET,TINIDAZOLE 500MG ORAL,86
256,ARIPIPRAZOLE 10MG TABLET,ARIPIPRAZOLE 10MG ORAL,87
257,PHENOBARBITAL 30MG TABLET,,-1
258,LEVALBUTEROL 0.31MG/3ML SOLUTION,,-1
259,"CANASA 1,000MG SUPPOSITORY",,-1
260,JINTELI 1MG-5MCG TABLET,,-1
261,DEXTROAMPHETAMINE ER 10MG CAP,DEXTROAMPHETAMINE SULFATE 10MG ORAL,86
262,OLANZAPINE 7.5MG TABLET,OLANZAPINE 7.5MG ORAL,86
263,FLECAINIDE ACETATE 100MG TABLET,FLECAINIDE ACETATE 100MG ORAL,91
264,OXYMORPHONE HCL 5MG TABLET,,-1
265,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
266,CLONAZEPAM 2MG TABLET,,-1
267,FEXOFENADINE HCL 180MG TABLET,,-1
268,SILTUSSIN DM COUGH SYRUP,,-1
269,INDAPAMIDE 2.5MG TABLET,INDAPAMIDE 2.5MG ORAL,86
270,NIFEDIPINE ER 90MG TABLET,NIFEDIPINE 90MG ORAL,86
271,METRONIDAZOLE 250MG TABLET,METRONIDAZOLE 250MG ORAL,88
272,CLOBETASOL 0.05% OINTMENT,,-1
273,DIVALPROEX SOD ER 500MG TABLET,,-1
274,LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
275,ATOMOXETINE HCL 100MG CAPSULE,,-1
276,DESMOPRESSIN ACETATE 0.2MG TB,DESMOPRESSIN ACETATE 0.2MG ORAL,95
277,AMLODIPINE BESYLATE 10MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
278,DULOXETINE HCL DR 20MG CAP,,-1
279,METOPROLOL-HYDROCHLOROTHIAZIDE 50-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
280,OXYCODONE-ACETAMINOPHEN 7.5-325MG TABLET,OXYCODONE AND ACETAMINOPHEN 325MG;7.5MG ORAL,87
281,HYDROCODONE-ACETAMINOPHEN 10-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,86
282,METOPROLOL SUCC ER 100MG TABLET,,-1
283,AMIODARONE HCL 200MG TABLET,,-1
284,PAXIL 20MG TABLET,,-1
285,CLINDAMYCIN-BENZOYL PEROX 1-5%,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE 2.5%;EQ 1.2% BASE TOPICAL,88
286,SILDENAFIL 20MG TABLET,,-1
287,ESCITALOPRAM 10MG TABLET,,-1
288,HEARTBURN TREATMENT 20MG CAP,,-1
289,CHILD ALLERGY RLF 12.5MG/5ML,,-1
290,ALFUZOSIN HCL ER 10MG TABLET,,-1
291,ALL DAY RELIEF 220MG TABLET,,-1
292,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
293,CALCIUM ANTACID 500MG CHW TABLET,,-1
294,SPIRONOLACTONE 25MG TABLET,SPIRONOLACTONE 25MG ORAL,88
295,CLONAZEPAM 0.5MG TABLET,CLONAZEPAM 0.5MG ORAL,86
296,ACETAMINOPHEN-COD #4 TABLET,,-1
297,IBUPROFEN 400MG TABLET,IBUPROFEN 400MG ORAL,86
298,LAMOTRIGINE 150MG TABLET,LAMOTRIGINE 150MG ORAL,87
299,FLUCONAZOLE 150MG TABLET,FLUCONAZOLE 150MG ORAL,87
300,MIDODRINE HCL 5MG TABLET,,-1
301,TRAVATAN Z 0.004% EYE DROP,,-1
302,PAROXETINE HCL 40MG TABLET,,-1
303,TOBRAMYCIN 300MG/5ML AMPULE,,-1
304,ROPINIROLE HCL ER 2MG TABLET,,-1
305,THEOPHYLLINE ER 300MG TABLET,THEOPHYLLINE 300MG ORAL,88
306,ANTACID-SIMETHICONE LIQUID,,-1
307,NICOTINE 21MG/24HR PATCH,NICOTINE 21MG/24HR TRANSDERMAL,86
308,AMOXICILLIN 250MG/5ML SUSP,AMOXICILLIN 250MG/5ML ORAL,89
309,LANSOPRAZOLE DR 30MG CAPSULE,LANSOPRAZOLE 30MG ORAL,87
310,ERYTHROMYCIN 0.5% EYE OINTMENT,,-1
311,VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
312,ISIBLOOM 28 DAY TABLET,,-1
313,POTASSIUM CL 10% (20 MEQ/15ML) LIQUID,,-1
314,LEVETIRACETAM 500MG TABLET,LEVETIRACETAM 500MG ORAL,88
315,ATOMOXETINE HCL 40MG CAPSULE,,-1
316,DICLOFENAC SODIUM 1% GEL,DICLOFENAC SODIUM 1% TOPICAL,90
317,RAMIPRIL 2.5MG CAPSULE,,-1
318,AMITRIPTYLINE HCL 150MG TABLET,,-1
319,VIAGRA 100MG TABLET,,-1
320,ALPRAZOLAM ODT 0.5MG TABLET,ALPRAZOLAM 0.5MG ORAL,86
321,SUMATRIPTAN 4MG/0.5ML CART,SUMATRIPTAN SUCCINATE EQ 4MG BASE/0.5ML (EQ 8MG BASE/ML) SUBCUTANEOUS,89
322,DHS TAR GEL 0.5% SHAMPOO,,-1
323,"METFORMIN HCL 1,000MG TABLET",,-1
324,TELMISARTAN 40MG TABLET,TELMISARTAN 40MG ORAL,86
325,IBUPROFEN 400MG TABLET,IBUPROFEN 400MG ORAL,86
326,PROPAFENONE HCL 150MG TABLET,,-1
327,GAS-X EXTRA STRENGTH SOFTGEL,,-1
328,HALOBETASOL PROP 0.05% OINTMNT,,-1
329,TRETINOIN GEL MICRO 0.1% TUBE,,-1
330,EZETIMIBE-SIMVASTATIN 10-80MG,EZETIMIBE AND SIMVASTATIN 10MG;80MG ORAL,95
331,DIPHENOXYLATE-ATROPINE 2.5-0.025MG TABLET,DIPHENOXYLATE HYDROCHLORIDE W/ ATROPINE SULFATE 0.025MG;2.5MG ORAL,88
332,RANITIDINE 150MG TABLET,,-1
333,BELBUCA 900MCG FILM,,-1
334,TROKENDI XR 50MG CAPSULE,TROKENDI XR 50MG ORAL,86
335,NORG-EE 0.18-0.215-0.25/0.025,,-1
336,FLUOCINONIDE 0.05% SOLUTION,,-1
337,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
338,BUPROPION HCL SR 200MG TABLET,,-1
339,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
340,DESIPRAMINE 25MG TABLET,,-1
341,ATOMOXETINE HCL 40MG CAPSULE,,-1
342,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
343,AMETHIA 0.15-0.03-0.01MG TABLET,,-1
344,BETAXOLOL HCL 0.5% EYE DROP,,-1
345,MURO-128 5% EYE DROPS,,-1
346,OLANZAPINE 2.5MG TABLET,OLANZAPINE 2.5MG ORAL,86
347,PROPRANOLOL ER 60MG CAPSULE,,-1
348,GS TUSSIN DM MAX LIQUID,,-1
349,METHAZOLAMIDE 50MG TABLET,METHAZOLAMIDE 50MG ORAL,88
350,LARIN 24 FE 1MG-20MCG TABLET,,-1
351,GABAPENTIN 400MG CAPSULE,GABAPENTIN 400MG ORAL,86
352,LORATADINE 5MG/5ML SYRUP,,-1
353,GLYBURIDE MICRO 6MG TABLET,,-1
354,HM STOOL SOFTENER 100MG TABLET,,-1
355,NAPROXEN 500MG TABLET,,-1
356,CARVEDILOL 12.5MG TABLET,CARVEDILOL 12.5MG ORAL,87
357,FLUOCINONIDE 0.05% CREAM,,-1
358,GLIPIZIDE 10MG TABLET,,-1
359,PENTOXIFYLLINE ER 400MG TABLET,PENTOXIFYLLINE 400MG ORAL,89
360,CIPROFLOXACIN 0.3% EYE DROP,,-1
361,CELEXA 40MG TABLET,,-1
362,TRIAMCINOLONE 0.147MG/G SPRAY,,-1
363,CAPTOPRIL 50MG TABLET,,-1
364,GLYBURIDE 5MG TABLET,,-1
365,NAPROXEN 375MG TABLET,,-1
366,DIPHENHYDRAMINE 50MG CAPSULE,,-1
367,PERPHENAZINE 16MG TABLET,PERPHENAZINE 16MG ORAL,87
368,VENLAFAXINE HCL ER 150MG CAP,,-1
369,VALSARTAN 80MG TABLET,,-1
370,SPRYCEL 50MG TABLET,,-1
371,POTASSIUM CIT-CITRIC ACID SOLUTION,,-1
372,OLMESARTAN MEDOXOMIL 20MG TABLET,OLMESARTAN MEDOXOMIL 20MG ORAL,91
373,HM CHILD IBUPROFEN 100MG/5ML,IBUPROFEN 100MG/5ML ORAL,88
374,ARIPIPRAZOLE 10MG TABLET,ARIPIPRAZOLE 10MG ORAL,87
375,IBUPROFEN 600MG TABLET,IBUPROFEN 600MG ORAL,86
376,METOPROLOL TARTRATE 50MG TABLET,METOPROLOL TARTRATE 50MG ORAL,91
377,ANAGRELIDE HCL 0.5MG CAPSULE,,-1
378,CHILDREN IBUPROFEN 100MG/5ML,CHILDREN'S IBUPROFEN 100MG/5ML ORAL,100
379,INFANT PAIN RELIEF 160MG/5ML,,-1
380,CEFADROXIL 250MG/5ML SUSP,CEFADROXIL EQ 250MG BASE/5ML ORAL,89
381,PILOCARPINE HCL 5MG TABLET,,-1
382,JANUVIA 100MG TABLET,,-1
383,LEVETIRACETAM ER 750MG TABLET,LEVETIRACETAM 750MG ORAL,88
384,TRETINOIN 0.01% GEL,TRETINOIN 0.01% TOPICAL,88
385,ACYCLOVIR 5% OINTMENT,,-1
386,HM MOTION RELIEF 25MG TABLET,,-1
387,PROPAFENONE HCL ER 325MG CAP,,-1
388,CALCIUM ANTACID 750MG TB CHEWABLE,,-1
389,DESIPRAMINE 100MG TABLET,,-1
390,OXYBUTYNIN 5MG/5ML SYRUP,OXYBUTYNIN CHLORIDE 5MG/5ML ORAL,86
391,TESTOSTERONE CYP 200MG/ML,DEPO-TESTOSTERONE 200MG/ML INJECTION,91
392,NITROFURANTOIN MCR 100MG CAP,NITROFURANTOIN 100MG ORAL,89
393,CICLOPIROX 0.77% CREAM,,-1
394,FLUORIDE 0.5MG TABLET CHEWABLE,,-1
