,ndc_description,ndc_description_agg,score
61,CARBAMAZEPINE ER 200MG CAP,CARBAMAZEPINE 200MG ORAL,88
62,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
63,"METFORMIN ER 1,000MG GASTR-TB",,-1
64,MORPHINE SULF ER 60MG TABLET,,-1
65,AMLODIPINE-OLMESARTAN 5-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,96
66,ROSUVASTATIN CALCIUM 20MG TABLET,ROSUVASTATIN CALCIUM 20MG ORAL,91
67,SPIRONOLACTONE 25MG TABLET,SPIRONOLACTONE 25MG ORAL,88
68,PROPRANOLOL 10MG TABLET,,-1
69,LANSOPRAZOLE DR 15MG CAPSULE,LANSOPRAZOLE 15MG ORAL,87
70,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
71,AMLODIPINE-OLMESARTAN 5-40MG,AMLODIPINE AND OLMESARTAN MEDOXOMIL EQ 5MG BASE;40MG ORAL,96
72,ENALAPRIL MALEATE 5MG TABLET,ENALAPRIL MALEATE 5MG ORAL,89
73,TRIAMTERENE-HYDROCHLOROTHIAZIDE 37.5-25MG TB,TRIAMTERENE AND HYDROCHLOROTHIAZIDE 25MG;37.5MG ORAL,94
74,NIACIN ER 750MG TABLET,,-1
75,NALTREXONE 50MG TABLET,,-1
76,NAPROXEN 500MG TABLET,,-1
77,SM NICOTINE 4MG CHEWING GUM,,-1
78,LOVASTATIN 10MG TABLET,LOVASTATIN 10MG ORAL,86
79,CONTRAVE ER 8-90MG TABLET,,-1
80,DICLOFENAC SOD DR 50MG TABLET,,-1
81,FAMOTIDINE 40MG TABLET,FAMOTIDINE 40MG ORAL,86
82,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
83,AMANTADINE 100MG TABLET,,-1
84,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
85,BISAC-EVAC 10MG SUPPOSITORY,,-1
86,RASAGILINE MESYLATE 1MG TABLET,RASAGILINE MESYLATE EQ 1MG BASE ORAL,87
87,LISINOPRIL 5MG TABLET,,-1
88,BYDUREON 2MG VIAL,BYDUREON 2MG/VIAL SUBCUTANEOUS,100
89,HYDROCODONE-ACETAMINOPHEN 5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,87
90,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
91,FLUNISOLIDE 0.025% SPRAY,FLUNISOLIDE 0.029MG/SPRAY NASAL,90
92,GLYBURIDE-METFORMIN 2.5-500MG,GLYBURIDE AND METFORMIN HYDROCHLORIDE 2.5MG;500MG ORAL,96
93,LISINOPRIL 20MG TABLET,LISINOPRIL 20MG ORAL,86
94,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
95,OXYCODONE HCL 15MG TABLET,,-1
96,TORSEMIDE 10MG TABLET,,-1
97,CAPECITABINE 500MG TABLET,CAPECITABINE 500MG ORAL,88
98,TEGRETOL 100MG/5ML SUSP,TEGRETOL 100MG/5ML ORAL,88
99,EAR SYSTEM 6.5%,,-1
100,GLIPIZIDE-METFORMIN 2.5-250MG,GLIPIZIDE AND METFORMIN HYDROCHLORIDE 2.5MG;250MG ORAL,96
101,GAS-X EX-STR 125MG TAB CHEWABLE,,-1
102,NEURONTIN 400MG CAPSULE,NEURONTIN 400MG ORAL,86
103,AMLODIPINE BESYLATE 2.5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,88
104,METFORMIN HCL 500MG TABLET,,-1
105,CAPECITABINE 500MG TABLET,CAPECITABINE 500MG ORAL,88
106,AMMONIUM LACTATE 12% LOTION,,-1
107,DICLOFENAC SOD EC 75MG TABLET,,-1
108,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
109,SIMVASTATIN 10MG TABLET,SIMVASTATIN 10MG ORAL,86
110,BUPROPION HCL XL 150MG TABLET,,-1
111,VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
112,HEADACHE RELIEF CAPLET,,-1
113,LOVASTATIN 40MG TABLET,LOVASTATIN 40MG ORAL,86
114,GABAPENTIN 400MG CAPSULE,GABAPENTIN 400MG ORAL,86
115,ENTECAVIR 1MG TABLET,,-1
116,KADIAN ER 40MG CAPSULE,,-1
117,BISOPROLOL FUMARATE 10MG TABLET,BISOPROLOL FUMARATE 10MG ORAL,91
118,LOXAPINE 25MG CAPSULE,,-1
119,LEVOXYL 125MCG TABLET,,-1
120,TRAZODONE 150MG TABLET,,-1
121,ALPRAZOLAM 1MG TABLET,,-1
122,ONDANSETRON ODT 8MG TABLET,ONDANSETRON 8MG ORAL,86
123,VENLAFAXINE HCL ER 75MG CAP,,-1
124,NASAL DECONGESTANT 30MG TABLET,,-1
125,DIOVAN HCT 320-25MG TABLET,,-1
126,HALOBETASOL PROP 0.05% OINTMNT,,-1
127,CYCLOBENZAPRINE 5MG TABLET,,-1
128,HM IBUPROFEN 200MG CAPSULE,IBUPROFEN 200MG ORAL,86
129,NICODERM CQ 21MG/24HR PATCH,NICODERM CQ 21MG/24HR TRANSDERMAL,88
130,METHOTREXATE 2.5MG TABLET,,-1
131,SAVELLA 50MG TABLET,,-1
132,OXYBUTYNIN CL ER 10MG TABLET,,-1
133,QC NAPROXEN SOD 220MG TABLET,,-1
134,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
135,TRAZODONE 100MG TABLET,,-1
136,BUPRENORPHINE-NALOXONE 2-0.5MG SL TABLET,,-1
137,BETAMETHASONE DP AUG 0.05% CREAM,,-1
138,PAROXETINE HCL 30MG TABLET,,-1
139,WARFARIN SODIUM 5MG TABLET,WARFARIN SODIUM 5MG ORAL,88
140,NORTRIPTYLINE HCL 25MG CAP,,-1
141,PIOGLITAZONE HCL 15MG TABLET,,-1
142,MEPERIDINE 100MG TABLET,,-1
143,CLOTRIMAZOLE 1% CREAM,,-1
144,MIRTAZAPINE 30MG TABLET,MIRTAZAPINE 30MG ORAL,86
145,DOXYCYCLINE HYCLATE 50MG CAP,DOXYCYCLINE HYCLATE EQ 50MG BASE ORAL,92
146,QUINAPRIL-HYDROCHLOROTHIAZIDE 10-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
147,ANASTROZOLE 1MG TABLET,ANASTROZOLE 1MG ORAL,86
148,MIRTAZAPINE 15MG TABLET,MIRTAZAPINE 15MG ORAL,86
149,SAPHRIS 2.5MG TAB SUBLINGUAL,SAPHRIS EQ 5MG BASE SUBLINGUAL,88
150,HYDROCODONE-ACETAMINOPHEN 10-300MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 300MG/15ML;10MG/15ML ORAL,86
151,NARATRIPTAN HCL 1MG TABLET,,-1
152,ALMOTRIPTAN MALATE 12.5MG TABLET,ALMOTRIPTAN MALATE EQ 12.5MG BASE ORAL,88
153,LISINOPRIL 5MG TABLET,,-1
154,DIVALPROEX SOD DR 125MG TABLET,,-1
155,BUPRENORPHINE 8MG TABLET SUB-LINGUAL,,-1
156,VALSARTAN 80MG TABLET,,-1
157,AMOX-CLAV 400-57MG/5ML SUSP,,-1
158,CHILDREN'S COLD-ALLERGY ELIXIR,,-1
159,DULOXETINE HCL DR 60MG CAP,,-1
160,GLIPIZIDE-METFORMIN 5-500MG,GLIPIZIDE AND METFORMIN HYDROCHLORIDE 2.5MG;500MG ORAL,96
161,ALLERGY RELIEF-NASAL DECONG TB,,-1
162,MORPHINE SULF ER 30MG TABLET,,-1
163,LINEZOLID 600MG TABLET,LINEZOLID 600MG ORAL,86
164,ENALAPRIL MALEATE 5MG TABLET,ENALAPRIL MALEATE 5MG ORAL,89
165,ATORVASTATIN 40MG TABLET,,-1
166,CARBIDOPA-LEVODOPA-ENTACAPONE 50-200-200MG TABLET,ENTACAPONE 200MG ORAL,86
167,CLOBETASOL 0.05% CREAM,,-1
168,NIFEDIPINE ER 60MG TABLET,NIFEDIPINE 60MG ORAL,86
169,IRBESARTAN 150MG TABLET,IRBESARTAN 150MG ORAL,86
170,SM CHILD ASPIRIN 81MG CHW TABLET,,-1
171,BUSPIRONE HCL 15MG TABLET,,-1
172,METOCLOPRAMIDE 10MG TABLET,,-1
173,BENAZEPRIL-HYDROCHLOROTHIAZIDE 20-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
174,ESCITALOPRAM 5MG TABLET,,-1
175,ACETAMINOPHEN 500MG GELCAP,,-1
176,FLUOCINONIDE 0.05% OINTMENT,,-1
177,DILTIAZEM 24HR ER 180MG CAP,,-1
178,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
179,BENZTROPINE MES 1MG TABLET,,-1
180,TETRACYCLINE 500MG CAPSULE,,-1
181,DILTIAZEM 90MG TABLET,,-1
182,HM IBUPROFEN 200MG TABLET,IBUPROFEN 200MG ORAL,86
183,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
184,BUPROPION HCL SR 150MG TABLET,,-1
185,GABAPENTIN 300MG CAPSULE,GABAPENTIN 300MG ORAL,86
186,BUSPIRONE HCL 5MG TABLET,,-1
187,GLEEVEC 400MG TABLET,,-1
188,HM CHILD IBUPROFEN 100MG/5ML,IBUPROFEN 100MG/5ML ORAL,88
189,AVONEX PEN 30MCG/0.5ML KIT,,-1
190,FLUOXETINE HCL 20MG CAPSULE,,-1
191,DEXTROAMP-AMPHETAMIN 15MG TABLET,,-1
192,MUPIROCIN 2% OINTMENT,,-1
193,OXYCODONE HCL 30MG TABLET,,-1
194,ENALAPRIL MALEATE 2.5MG TABLET,ENALAPRIL MALEATE 2.5MG ORAL,90
195,CLONIDINE HCL ER 0.1MG TABLET,,-1
196,VAGIFEM 10MCG VAGINAL TABLET,VAGIFEM 10MCG VAGINAL,100
197,HYDROCODONE-ACETAMINOPHEN 10-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,86
198,MINOCYCLINE 100MG CAPSULE,,-1
199,VANCOMYCIN 1 GM VIAL,VANCOMYCIN HYDROCHLORIDE EQ 1.25GM BASE/VIAL INTRAVENOUS,92
200,VALSARTAN 160MG TABLET,VALSARTAN 160MG ORAL,86
201,TAMOXIFEN 10MG TABLET,,-1
202,LEVETIRACETAM 500MG TABLET,LEVETIRACETAM 500MG ORAL,88
203,PRAMIPEXOLE 0.75MG TABLET,,-1
204,OXYCODONE HCL 15MG TABLET,,-1
205,CHILDREN'S MAPAP 80MG RAPID,,-1
206,PAROXETINE HCL 40MG TABLET,,-1
207,METOPROLOL SUCC ER 100MG TABLET,,-1
208,PANTOPRAZOLE SOD DR 20MG TABLET,,-1
209,METHYLDOPA 500MG TABLET,METHYLDOPA 500MG ORAL,86
210,VERAPAMIL ER 240MG TABLET,,-1
211,PRAZOSIN 1MG CAPSULE,,-1
212,DILTIAZEM 24HR ER 420MG CAP,,-1
213,BROMPHENIR-PSEUDOEPHED-DM SYRINGE,,-1
214,ISOSORBIDE MONONIT 20MG TABLET,,-1
215,LAMISIL AT 1% CREAM,,-1
216,MEDROXYPROGESTERONE 10MG TABLET,MEDROXYPROGESTERONE ACETATE 10MG ORAL,87
217,COLD RLF HEAD CONGESTION CPLT,,-1
218,BACITRACIN 500 UNIT/GM OINTMNT,,-1
219,BELBUCA 300MCG FILM,,-1
220,CLARITHROMYCIN 125MG/5ML SUS,CLARITHROMYCIN 125MG/5ML ORAL,92
221,LAMOTRIGINE 25MG TABLET,LAMOTRIGINE 25MG ORAL,86
222,LEVO-T 175MCG TABLET,,-1
223,PIOGLITAZONE HCL 30MG TABLET,,-1
224,CHLORTHALIDONE 50MG TABLET,CHLORTHALIDONE 50MG ORAL,88
225,ARIPIPRAZOLE 5MG TABLET,ARIPIPRAZOLE 5MG ORAL,86
226,ISOSORBIDE MONONIT 10MG TABLET,,-1
227,BENAZEPRIL HCL 20MG TABLET,,-1
228,OXYMORPHONE HCL 5MG TABLET,,-1
229,GABAPENTIN 600MG TABLET,GABAPENTIN 600MG ORAL,86
230,MEMANTINE HCL 10MG TABLET,,-1
231,CODEINE-GUAIFEN 10-100MG/5ML,,-1
232,AMOXICILLIN 500MG TABLET,AMOXICILLIN 500MG ORAL,87
233,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
234,TUMS ULTRA STR CHEWY DELIGHTS,,-1
235,ALPRAZOLAM 0.5MG TABLET,ALPRAZOLAM 0.5MG ORAL,86
236,CLINDAMYCIN PH 1% SOLUTION,,-1
237,AMITIZA 8MCG CAPSULE,,-1
238,FLUCONAZOLE 50MG TABLET,FLUCONAZOLE 50MG ORAL,86
239,FANAPT 4MG TABLET,,-1
240,IMIPRAMINE HCL 25MG TABLET,,-1
241,NORETHIN-ETH ESTRAD 1MG-5MCG,,-1
242,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
243,VALACYCLOVIR HCL 1 GRAM TABLET,,-1
244,INDOMETHACIN ER 75MG CAPSULE,INDOMETHACIN 75MG ORAL,87
245,POTASSIUM CL ER 10 MEQ TABLET,,-1
246,CEFUROXIME AXETIL 500MG TABLET,CEFUROXIME AXETIL EQ 500MG BASE ORAL,87
247,RISEDRONATE SOD DR 35MG TABLET,,-1
248,CIPROFLOXACIN HCL 500MG TABLET,,-1
249,PRAMIPEXOLE 1.5MG TABLET,,-1
250,HYDROXYZINE HCL 50MG TABLET,,-1
251,NABUMETONE 750MG TABLET,NABUMETONE 750MG ORAL,86
252,OLMESARTAN-HYDROCHLOROTHIAZIDE 40-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
253,SUDOGEST PE 10MG TABLET,,-1
254,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
255,RAMIPRIL 2.5MG CAPSULE,,-1
256,BENAZEPRIL HCL 40MG TABLET,,-1
257,TIROSINT 75MCG CAPSULE,,-1
258,DICLOFENAC SOD EC 75MG TABLET,,-1
259,"NYSTATIN 100,000 UNIT/GM CREAM","NYSTATIN 100,000 UNITS/GM TOPICAL",86
260,OLANZAPINE ODT 5MG TABLET,,-1
261,LOSARTAN-HYDROCHLOROTHIAZIDE 50-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
262,WARFARIN SODIUM 3MG TABLET,WARFARIN SODIUM 3MG ORAL,88
263,PREMPRO 0.625-5MG TABLET,,-1
264,ALPRAZOLAM 0.5MG TABLET,ALPRAZOLAM 0.5MG ORAL,86
265,ARIPIPRAZOLE 20MG TABLET,ARIPIPRAZOLE 20MG ORAL,87
266,DOXYCYCLINE MONO 100MG TABLET,,-1
267,HYDROCODONE-HOMATROPINE 5-1.5MG TABLET,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE 1.5MG/5ML;5MG/5ML ORAL,87
268,OLANZAPINE 10MG TABLET,OLANZAPINE 10MG ORAL,86
269,CLOPIDOGREL 75MG TABLET,,-1
270,VANAHIST PD 0.625MG/ML DROP,,-1
271,INDOMETHACIN 25MG CAPSULE,INDOMETHACIN 25MG ORAL,87
272,DILTIAZEM 24HR ER 300MG CAP,,-1
273,NICORELIEF 2MG GUM,,-1
274,MEPRON 750MG/5ML SUSPENSION,MEPRON 750MG/5ML ORAL,86
275,DICLOFENAC POT 50MG TABLET,,-1
276,DOXAZOSIN MESYLATE 1MG TABLET,DOXAZOSIN MESYLATE EQ 1MG BASE ORAL,86
277,METHADONE HCL 5MG TABLET,,-1
278,RALOXIFENE HCL 60MG TABLET,,-1
279,BACITRACIN ZN 500 UNIT/GM OINT,,-1
280,ALENDRONATE SODIUM 35MG TABLET,ALENDRONATE SODIUM EQ 35MG BASE ORAL,87
281,FAMOTIDINE 20MG TABLET,FAMOTIDINE 20MG ORAL,86
282,IBUPROFEN 200MG CAPLET,IBUPROFEN 200MG ORAL,86
283,NORITATE 1% CREAM,,-1
284,CARBAMAZEPINE ER 100MG TABLET,CARBAMAZEPINE 100MG ORAL,88
285,CYCLOSPORINE MODIFIED 100MG,CYCLOSPORINE 100MG ORAL,88
286,METOPROLOL TARTRATE 100MG TABLET,METOPROLOL TARTRATE 100MG ORAL,91
287,FOSINOPRIL SODIUM 20MG TABLET,FOSINOPRIL SODIUM 20MG ORAL,90
288,PALIPERIDONE ER 9MG TABLET,PALIPERIDONE 9MG ORAL,86
289,BANOPHEN 25MG TABLET,,-1
290,DOXYCYCLINE HYCLATE 100MG TABLET,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,88
291,CORLANOR 5MG TABLET,,-1
292,LISINOPRIL 5MG TABLET,,-1
293,TOBRAMYCIN 0.3% EYE DROP,,-1
294,LOVASTATIN 40MG TABLET,LOVASTATIN 40MG ORAL,86
295,MONTELUKAST SOD 10MG TABLET,,-1
296,XARELTO 10MG TABLET,,-1
297,FUROSEMIDE 40MG TABLET,FUROSEMIDE 40MG ORAL,86
298,PANTOPRAZOLE SOD DR 40MG TABLET,,-1
299,ECONAZOLE NITRATE 1% CREAM,ECONAZOLE NITRATE 1% TOPICAL,86
300,MUCINEX D ER 600-60MG TABLET,,-1
301,HM OMEPRAZOLE DR 20MG TABLET,OMEPRAZOLE 20MG ORAL,86
302,CLARAVIS 10MG CAPSULE,,-1
303,MIRTAZAPINE 15MG TABLET,MIRTAZAPINE 15MG ORAL,86
304,FLUCONAZOLE 200MG TABLET,FLUCONAZOLE 200MG ORAL,87
305,GLIPIZIDE ER 5MG TABLET,,-1
306,ECONAZOLE NITRATE 1% CREAM,ECONAZOLE NITRATE 1% TOPICAL,86
307,LOVASTATIN 20MG TABLET,LOVASTATIN 20MG ORAL,86
308,SULFAMETHOXAZOLE-TMP DS TABLET,,-1
309,ESCITALOPRAM 20MG TABLET,,-1
310,PRAVASTATIN SODIUM 10MG TABLET,PRAVASTATIN SODIUM 10MG ORAL,90
311,VALGANCICLOVIR 450MG TABLET,,-1
312,LISINOPRIL 20MG TABLET,LISINOPRIL 20MG ORAL,86
313,OXCARBAZEPINE 600MG TABLET,OXCARBAZEPINE 600MG ORAL,88
314,TUSSIN MUCUS-CONG 200MG/10,,-1
315,EARWAX TREATMENT 6.5% DROPS,,-1
316,SILDENAFIL 20MG TABLET,,-1
317,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
318,PHENYTOIN SOD EXT 300MG CAP,,-1
319,METHYLPREDNISOLONE 4MG DOSEPK,METHYLPREDNISOLONE 4MG ORAL,90
320,FENOFIBRATE 134MG CAPSULE,,-1
321,GLYBURIDE 2.5MG TABLET,GLYBURIDE 2.5MG ORAL,86
322,FLUVASTATIN ER 80MG TABLET,,-1
323,ALBUTEROL SUL 1.25MG/3ML SOLUTION,,-1
324,AZITHROMYCIN 250MG TABLET,,-1
325,HM CAL ANTACID 750MG CHEW TABLET,,-1
326,"METFORMIN HCL 1,000MG TABLET",,-1
327,HYDROXYZINE PAM 25MG CAP,,-1
328,GLIPIZIDE ER 2.5MG TABLET,GLIPIZIDE 2.5MG ORAL,86
329,DESONIDE 0.05% OINTMENT,,-1
330,SUMATRIPTAN SUCC 25MG TABLET,,-1
331,FINASTERIDE 5MG TABLET,FINASTERIDE 5MG ORAL,86
332,OXYCODONE-ACETAMINOPHEN 10-325MG TABLET,,-1
333,NASAL SPRAY 0.05%,ALLERNAZE 0.05MG/SPRAY NASAL,90
334,NITROGLYCERIN 0.6MG TABLET SUB-LINGUAL,,-1
335,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
336,LITHIUM CARBONATE 300MG TABLET,LITHIUM CARBONATE 300MG ORAL,90
337,NAPROXEN SODIUM 550MG TABLET,,-1
338,CELLCEPT 500MG TABLET,,-1
339,LYRICA 75MG CAPSULE,,-1
340,METRONIDAZOLE 250MG TABLET,METRONIDAZOLE 250MG ORAL,88
341,JANTOVEN 7.5MG TABLET,,-1
342,METHADONE HCL 5MG TABLET,,-1
343,RANITIDINE 150MG TABLET,,-1
344,QC IBUPROFEN IB 200MG CAPLET,IBUPROFEN 200MG ORAL,86
345,METHADONE HCL 10MG TABLET,,-1
346,SUBOXONE 12MG-3MG SL FILM,,-1
347,FLUOCINONIDE 0.05% OINTMENT,,-1
348,CEPHALEXIN 250MG CAPSULE,,-1
349,FLUOXETINE HCL 20MG CAPSULE,,-1
350,FELBAMATE 600MG TABLET,FELBAMATE 600MG ORAL,86
351,HM FAMOTIDINE 20MG TABLET,FAMOTIDINE 20MG ORAL,86
352,CLOZAPINE 100MG TABLET,CLOZAPINE 100MG ORAL,86
353,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
354,EZETIMIBE 10MG TABLET,,-1
355,TELMISARTAN 80MG TABLET,TELMISARTAN 80MG ORAL,86
356,CLOMIPRAMINE 25MG CAPSULE,,-1
357,FLUOCINONIDE 0.1% CREAM,,-1
358,THERAFLU EXPRESSMAX DAY CAPLET,,-1
359,OMEPRAZOLE DR 10MG CAPSULE,OMEPRAZOLE 10MG ORAL,86
360,LOSARTAN-HYDROCHLOROTHIAZIDE 50-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
361,"NYSTATIN 100,000 UNIT/GM POWD",,-1
362,PAIN & FEVER 500MG TABLET,,-1
363,AMLODIPINE BESYLATE 5MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
364,ACETAMINOPHEN 500MG CAPLET,,-1
365,PRAVASTATIN SODIUM 20MG TABLET,PRAVASTATIN SODIUM 20MG ORAL,90
366,METHYLIN 10MG/5ML SOLUTION,METHYLIN 10MG/5ML ORAL,87
367,TOLTERODINE TART ER 4MG CAP,,-1
368,TOPIRAMATE 25MG TABLET,TOPIRAMATE 25MG ORAL,86
369,SYMBICORT 160-4.5MCG INHALER,,-1
370,PAROXETINE HCL 20MG TABLET,,-1
371,DEXTROAMP-AMPHET ER 15MG CAP,,-1
372,SM POVIDONE-IODINE 10% SOLUTION,,-1
373,LAMOTRIGINE 150MG TABLET,LAMOTRIGINE 150MG ORAL,87
374,VENLAFAXINE HCL ER 150MG TABLET,,-1
375,DESMOPRESSIN ACETATE 0.1MG TB,DESMOPRESSIN ACETATE 0.1MG ORAL,95
376,TRAMADOL-ACETAMINOPHEN 37.5-325MG TABLET,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN 325MG;37.5MG ORAL,87
377,PIOGLITAZONE HCL 30MG TABLET,,-1
378,TAMSULOSIN HCL 0.4MG CAPSULE,,-1
379,AMLODIPINE-BENAZEPRIL 5-40MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 5MG BASE;40MG ORAL,96
