,ndc_description,ndc_description_agg,score
35,GABAPENTIN 300MG CAPSULE,GABAPENTIN 300MG ORAL,86
36,MOXIFLOXACIN HCL 400MG TABLET,,-1
37,BENZTROPINE MES 2MG TABLET,,-1
38,DULOXETINE HCL DR 30MG CAP,,-1
39,AZILECT 1MG TABLET,,-1
40,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
41,FENTANYL 50MCG/HR PATCH,,-1
42,ESCITALOPRAM 20MG TABLET,,-1
43,COSOPT EYE DROPS,,-1
44,PROGRAF 0.5MG CAPSULE,,-1
45,PROMETHAZINE 12.5MG TABLET,,-1
46,IBUPROFEN 600MG TABLET,IBUPROFEN 600MG ORAL,86
47,LEVOFLOXACIN 750MG TABLET,LEVOFLOXACIN 750MG ORAL,88
48,ETHAMBUTOL HCL 400MG TABLET,,-1
49,NALTREXONE 50MG TABLET,,-1
50,TINIDAZOLE 500MG TABLET,TINIDAZOLE 500MG ORAL,86
51,HYDROXYZINE HCL 10MG TABLET,,-1
52,VENLAFAXINE HCL ER 75MG CAP,,-1
53,BYETTA 10MCG DOSE PEN INJ,,-1
54,OXYTROL 3.9MG/24HR PATCH,OXYTROL 3.9MG/24HR TRANSDERMAL,86
55,ROWEEPRA XR 500MG TABLET,,-1
56,DESMOPRESSIN ACETATE 0.2MG TB,DESMOPRESSIN ACETATE 0.2MG ORAL,95
57,BUPROPION HCL XL 150MG TABLET,,-1
58,ROSUVASTATIN CALCIUM 10MG TABLET,ROSUVASTATIN CALCIUM 10MG ORAL,91
59,ALPRAZOLAM 0.25MG TABLET,ALPRAZOLAM 0.25MG ORAL,87
60,LEVOTHYROXINE 300MCG TABLET,,-1
61,ALPRAZOLAM 2MG TABLET,,-1
62,CLOBETASOL EMOLLNT 0.05% FOAM,,-1
63,LOSARTAN-HYDROCHLOROTHIAZIDE 100-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
64,HM ESOMEPRAZOLE MAG DR 20MG,,-1
65,ROPINIROLE HCL 0.25MG TABLET,,-1
66,PHENTERMINE 30MG CAPSULE,,-1
67,COLCHICINE 0.6MG CAPSULE,COLCHICINE 0.6MG ORAL,86
68,FLUCONAZOLE 50MG TABLET,FLUCONAZOLE 50MG ORAL,86
69,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
70,SM ALL DAY ALLERGY-D TABLET,,-1
71,BUPROPION HCL XL 150MG TABLET,,-1
72,GLIPIZIDE-METFORMIN 5-500MG,GLIPIZIDE AND METFORMIN HYDROCHLORIDE 2.5MG;500MG ORAL,96
73,TRIAMCINOLONE 0.1% CREAM,,-1
74,ALPRAZOLAM 0.5MG TABLET,ALPRAZOLAM 0.5MG ORAL,86
75,QUETIAPINE FUMARATE 50MG TABLET,QUETIAPINE FUMARATE EQ 50MG BASE ORAL,87
76,FINASTERIDE 5MG TABLET,FINASTERIDE 5MG ORAL,86
77,NOREL AD TABLET,,-1
78,NAFTIFINE HCL 2% CREAM,,-1
79,CYCLOBENZAPRINE 5MG TABLET,,-1
80,VALTREX 1 GM CAPLET,,-1
81,M-HIST PD 0.625MG/ML DROP,,-1
82,FLECAINIDE ACETATE 50MG TABLET,FLECAINIDE ACETATE 50MG ORAL,90
83,QUETIAPINE FUMARATE 400MG TABLET,QUETIAPINE FUMARATE EQ 400MG BASE ORAL,88
84,BYSTOLIC 10MG TABLET,,-1
85,PROTONIX DR 40MG TABLET,,-1
86,GS ALLERGY RELIEF 10MG TABLET,,-1
87,GLIMEPIRIDE 2MG TABLET,GLIMEPIRIDE 2MG ORAL,86
88,PROPRANOLOL 40MG TABLET,,-1
89,TUMS E-X TABLET CHEWABLE,,-1
90,CHLORDIAZEPOXIDE 25MG CAPSULE,,-1
91,CHILD PAIN-FEVER 160MG/5ML,,-1
92,SIROLIMUS 0.5MG TABLET,SIROLIMUS 0.5MG ORAL,86
93,ISOSORBIDE MONONIT ER 120MG,,-1
94,CITALOPRAM HBR 20MG TABLET,,-1
95,ROPINIROLE HCL 3MG TABLET,,-1
96,GALANTAMINE ER 16MG CAPSULE,,-1
97,TRETINOIN GEL MICRO 0.04% TUBE,,-1
98,ACID REDUCER 20MG TABLET,,-1
99,ASPIRIN 81MG CHEWABLE TABLET,,-1
100,HYDROXYZINE HCL 25MG TABLET,,-1
101,CARBAMAZEPINE 100MG TAB CHEWABLE,CARBAMAZEPINE 100MG ORAL,88
102,GLYBURIDE 1.25MG TABLET,GLYBURIDE 1.25MG ORAL,86
103,MIRTAZAPINE 30MG TABLET,MIRTAZAPINE 30MG ORAL,86
104,BENZONATATE 200MG CAPSULE,BENZONATATE 200MG ORAL,87
105,BENZONATATE 100MG CAPSULE,BENZONATATE 100MG ORAL,87
106,SPS 15 GM/60ML SUSPENSION,,-1
107,MESALAMINE 4 GM/60ML ENEMA,,-1
108,MECLIZINE 12.5MG TABLET,,-1
109,CLOBETASOL PROP 0.05% SPRAY,,-1
110,BUPROPION HCL SR 100MG TABLET,,-1
111,GLIMEPIRIDE 2MG TABLET,GLIMEPIRIDE 2MG ORAL,86
112,CLOPIDOGREL 75MG TABLET,,-1
113,MENEST 0.625MG TABLET,,-1
114,MEGESTROL 20MG TABLET,,-1
115,OXYCODONE-ACETAMINOPHEN 10-325MG TABLET,,-1
116,NORETH-ESTRAD-FE 1-0.02(24)-75,,-1
117,HYDROCHLOROTHIAZIDE 50MG TABLET,HYDROCHLOROTHIAZIDE 50MG ORAL,91
118,TIKOSYN 500MCG CAPSULE,,-1
119,ONDANSETRON HCL 4MG TABLET,ONDANSETRON 4MG ORAL,86
120,RAMIPRIL 10MG CAPSULE,,-1
121,PHENTERMINE 30MG CAPSULE,,-1
122,TRIAMCINOLONE 0.1% LOTION,,-1
123,PROPRANOLOL 20MG TABLET,,-1
124,LEVOFLOXACIN 250MG TABLET,LEVOFLOXACIN 250MG ORAL,88
125,CLOBETASOL 0.05% OINTMENT,,-1
126,DICLOFENAC SOD ER 100MG TABLET,,-1
127,GS ACID REDUCER 150MG TABLET,,-1
128,DONEPEZIL HCL 10MG TABLET,,-1
129,PENICILLIN VK 500MG TABLET,,-1
130,BUPROPION HCL SR 150MG TABLET,,-1
131,RIFAMPIN 300MG CAPSULE,,-1
132,ZONISAMIDE 100MG CAPSULE,ZONISAMIDE 100MG ORAL,86
133,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
134,HUMULIN N 100 UNITS/ML VIAL,HUMULIN N 100 UNITS/ML INJECTION,90
135,GABAPENTIN 300MG CAPSULE,GABAPENTIN 300MG ORAL,86
136,PROPRANOLOL 20MG TABLET,,-1
137,OLMESARTAN-HYDROCHLOROTHIAZIDE 40-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
138,OLANZAPINE 5MG TABLET,,-1
139,OXYCODONE HCL 20MG TABLET,,-1
140,FLUTICASONE PROP 0.05% CREAM,,-1
141,OLMESARTAN-HYDROCHLOROTHIAZIDE 40-12.5MG TABLET,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
142,GABAPENTIN 400MG CAPSULE,GABAPENTIN 400MG ORAL,86
143,SPIRONOLACTONE 25MG TABLET,SPIRONOLACTONE 25MG ORAL,88
144,LISINOPRIL 2.5MG TABLET,LISINOPRIL 2.5MG ORAL,86
145,TOPROL XL 100MG TABLET,,-1
146,AMOXICILLIN 500MG CAPSULE,AMOXICILLIN 500MG ORAL,87
147,LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
148,ALENDRONATE SODIUM 70MG TABLET,ALENDRONATE SODIUM EQ 70MG BASE/75ML ORAL,87
149,VIMPAT 50MG TABLET,,-1
150,CALCIPOTRIENE 0.005% CREAM,CALCIPOTRIENE 0.005% TOPICAL,86
151,NIFEDIPINE ER 60MG TABLET,NIFEDIPINE 60MG ORAL,86
152,FLU-SEVERE COLD-COUGH DAY PKT,,-1
153,UCERIS 2MG RECTAL FOAM,UCERIS 2MG/ACTUATION RECTAL,87
154,ATENOLOL-CHLORTHALIDONE 100-25,ATENOLOL AND CHLORTHALIDONE 50MG;25MG ORAL,87
155,MONTELUKAST SOD 5MG TAB CHEWABLE,,-1
156,AMLODIPINE BESYLATE 10MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
157,LORYNA 3MG-0.02MG TABLET,LORYNA 3MG;0.02MG ORAL,87
158,TOPIRAMATE 50MG TABLET,TOPIRAMATE 50MG ORAL,86
159,SENOKOT 8.6MG TABLET,,-1
160,METFORMIN HCL 850MG TABLET,,-1
161,NALTREXONE 50MG TABLET,,-1
162,JUNEL 1MG-20MCG TABLET,,-1
163,SIMVASTATIN 5MG TABLET,SIMVASTATIN 5MG ORAL,86
164,OXCARBAZEPINE 300MG TABLET,OXCARBAZEPINE 300MG ORAL,88
165,TORSEMIDE 20MG TABLET,,-1
166,DICLOFENAC SOD EC 75MG TABLET,,-1
167,ACETAMINOPHEN-COD #3 TABLET,,-1
168,FLAVOXATE HCL 100MG TABLET,,-1
169,SM ASPIRIN EC 81MG TABLET,,-1
170,HYDROCORTISONE 2.5% CREAM,HYDROCORTISONE 2.5% TOPICAL,86
171,FLUVASTATIN ER 80MG TABLET,,-1
172,METHYLPHENIDATE 20MG TABLET,,-1
173,TERBINAFINE HCL 250MG TABLET,,-1
174,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
175,SIMVASTATIN 80MG TABLET,SIMVASTATIN 80MG ORAL,86
176,DILTIAZEM 24HR ER 180MG CAP,,-1
177,ALPRAZOLAM 2MG TABLET,,-1
178,TRIAMTERENE-HYDROCHLOROTHIAZIDE 75-50MG TABLET,HYDROCHLOROTHIAZIDE 50MG ORAL,91
179,GLIMEPIRIDE 1MG TABLET,GLIMEPIRIDE 1MG ORAL,86
180,SYSTANE GEL EYE DROPS,,-1
181,DICLOFENAC 1.5% TOPICAL SOLUTION,DICLOFENAC SODIUM 1.5% TOPICAL,87
182,ZOLMITRIPTAN 5MG TABLET,ZOLMITRIPTAN 5MG ORAL,86
183,SIMVASTATIN 40MG TABLET,SIMVASTATIN 40MG ORAL,86
184,DAPSONE 25MG TABLET,,-1
185,LEVETIRACETAM 500MG TABLET,LEVETIRACETAM 500MG ORAL,88
186,ESCITALOPRAM 10MG TABLET,,-1
187,TEMAZEPAM 7.5MG CAPSULE,TEMAZEPAM 7.5MG ORAL,86
188,DIPHEDRYL 25MG TABLET,,-1
189,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
190,LIOTHYRONINE SOD 25MCG TABLET,,-1
191,BLISOVI 24 FE TABLET,,-1
192,PAIN RELIEF 500MG GELCAP,,-1
193,ARMOUR THYROID 120MG TABLET,,-1
194,ZYVOX 100MG/5ML SUSPENSION,ZYVOX 100MG/5ML ORAL,86
195,FIBER-LAX CAPTABS,,-1
196,MOMETASONE FUROATE 0.1% OINT,MOMETASONE FUROATE 0.1% TOPICAL,90
197,DIPHENOXYLATE-ATROPINE 2.5-0.025MG TABLET,DIPHENOXYLATE HYDROCHLORIDE W/ ATROPINE SULFATE 0.025MG;2.5MG ORAL,88
198,DULOXETINE HCL DR 60MG CAP,,-1
199,CEFPROZIL 125MG/5ML SUSP,CEFPROZIL 125MG/5ML ORAL,88
200,ROPINIROLE HCL ER 2MG TABLET,,-1
201,PREDNISOLONE SOD 1% EYE DROP,,-1
202,CAPTOPRIL 25MG TABLET,,-1
203,NIFEDIPINE 10MG CAPSULE,NIFEDIPINE 10MG ORAL,86
204,TRIAMTERENE-HYDROCHLOROTHIAZIDE 37.5-25MG TB,TRIAMTERENE AND HYDROCHLOROTHIAZIDE 25MG;37.5MG ORAL,94
205,"NIACIN ER 1,000MG TABLET",,-1
206,HEARTBURN RELIEF 150MG TABLET,,-1
207,KETOROLAC 0.5% OPHTH SOLUTION,,-1
208,SERTRALINE HCL 50MG TABLET,,-1
209,TESTOSTERONE 50MG/5 GRAM PKT,,-1
210,IBUPROFEN 400MG TABLET,IBUPROFEN 400MG ORAL,86
211,HM LORATADINE 10MG TABLET,LORATADINE 10MG ORAL,86
212,COUMADIN 2.5MG TABLET,,-1
213,STOOL SOFTENER 100MG CAPSULE,,-1
214,HYDROXYZINE HCL 25MG TABLET,,-1
215,ISOSORBIDE DINITRATE 20MG TABLET,ISOSORBIDE DINITRATE 20MG ORAL,91
216,DOXYCYCLINE HYCLATE 100MG TABLET,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,88
217,VIIBRYD 40MG TABLET,,-1
218,HYDROCORTISONE 2.5% CREAM,HYDROCORTISONE 2.5% TOPICAL,86
219,LOSARTAN POTASSIUM 25MG TABLET,LOSARTAN POTASSIUM 25MG ORAL,90
220,ANTARA 90MG CAPSULE,,-1
221,FLUOXETINE HCL 10MG TABLET,,-1
222,SM COLD-FLU SEVERE CAPLET,,-1
223,ANASTROZOLE 1MG TABLET,ANASTROZOLE 1MG ORAL,86
224,TERAZOSIN 1MG CAPSULE,,-1
225,BELBUCA 300MCG FILM,,-1
226,ACITRETIN 10MG CAPSULE,,-1
227,GLIPIZIDE 5MG TABLET,,-1
228,ANTIFUNGAL 1% CREAM,,-1
229,SANDIMMUNE 25MG CAPSULE,SANDIMMUNE 25MG ORAL,86
230,PHENOBARBITAL 15MG TABLET,,-1
231,DICLOXACILLIN 250MG CAPSULE,,-1
232,LISINOPRIL 10MG TABLET,LISINOPRIL 10MG ORAL,86
233,OXYBUTYNIN CL ER 5MG TABLET,,-1
234,TOLTERODINE TARTRATE 1MG TABLET,TOLTERODINE TARTRATE 1MG ORAL,91
235,PROMETHAZINE 12.5MG SUPPOS,,-1
236,DONEPEZIL HCL 10MG TABLET,,-1
237,PAROXETINE HCL 40MG TABLET,,-1
238,MEGESTROL 625MG/5ML SUSP,,-1
239,TAMSULOSIN HCL 0.4MG CAPSULE,,-1
240,FENTANYL 50MCG/HR PATCH,,-1
241,ISOSORBIDE MONONIT ER 30MG TB,,-1
242,ENTECAVIR 0.5MG TABLET,ENTECAVIR 0.5MG ORAL,86
243,CLINDAMYCIN-BENZOYL PEROX 1-5%,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE 2.5%;EQ 1.2% BASE TOPICAL,88
244,ESOMEPRAZOLE MAG DR 40MG CAP,,-1
245,ACARBOSE 25MG TABLET,,-1
246,MONTELUKAST SOD 10MG TABLET,,-1
247,CLOPIDOGREL 75MG TABLET,,-1
248,LEVOTHYROXINE 25MCG TABLET,,-1
249,FLUOXETINE HCL 40MG CAPSULE,,-1
250,ZOLPIDEM TARTRATE 5MG TABLET,ZOLPIDEM TARTRATE 5MG ORAL,89
251,SPIRONOLACTONE 25MG TABLET,SPIRONOLACTONE 25MG ORAL,88
252,LACTULOSE 10 GM/15ML SOLUTION,,-1
253,VENLAFAXINE HCL 75MG TABLET,,-1
254,METFORMIN HCL 500MG TABLET,,-1
255,LANSOPRAZOLE DR 15MG CAPSULE,LANSOPRAZOLE 15MG ORAL,87
256,JUBLIA 10% TOPICAL SOLUTION,JUBLIA 10% TOPICAL,100
257,PROVIGIL 200MG TABLET,,-1
258,REGULOID POWDER ORANGE,,-1
259,NAPROXEN SODIUM 550MG TABLET,,-1
260,PALIPERIDONE ER 9MG TABLET,PALIPERIDONE 9MG ORAL,86
261,HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN 325MG/15ML;7.5MG/15ML ORAL,88
262,METHYLPHENIDATE ER(CD) 30MG CP,,-1
263,NAPROXEN 500MG TABLET,,-1
264,REPAGLINIDE 2MG TABLET,REPAGLINIDE 2MG ORAL,86
265,LOSARTAN-HYDROCHLOROTHIAZIDE 100-25MG TABLET,HYDROCHLOROTHIAZIDE 25MG ORAL,91
266,ABILIFY MAINTENA ER 400MG VL,ABILIFY MAINTENA KIT 400MG/VIAL INTRAMUSCULAR,88
267,LIOTHYRONINE SOD 5MCG TABLET,,-1
268,VENLAFAXINE HCL 100MG TABLET,,-1
269,XIGDUO XR 10MG-500MG TABLET,XIGDUO XR 10MG;500MG ORAL,89
270,ARIPIPRAZOLE 20MG TABLET,ARIPIPRAZOLE 20MG ORAL,87
271,ASPIRIN 81MG CHEWABLE TABLET,,-1
272,FLUOXETINE HCL 20MG CAPSULE,,-1
273,TETRACYCLINE 500MG CAPSULE,,-1
274,CEPHALEXIN 500MG CAPSULE,,-1
275,MIDODRINE HCL 5MG TABLET,,-1
276,TELMISARTAN 40MG TABLET,TELMISARTAN 40MG ORAL,86
277,PAROXETINE ER 12.5MG TABLET,,-1
278,SM CHILD ALL DAY ALLER 1MG/ML,,-1
279,ANTACID SUSPENSION,,-1
280,TOPIRAMATE 100MG TABLET,TOPIRAMATE 100MG ORAL,86
281,COLESTID GRANULES PACKET,,-1
282,VENLAFAXINE HCL ER 75MG CAP,,-1
283,ATOMOXETINE HCL 60MG CAPSULE,,-1
284,TERAZOSIN 2MG CAPSULE,,-1
285,EX-LAX MAXIMUM STR 25MG TABLET,,-1
286,FOSINOPRIL SODIUM 10MG TABLET,FOSINOPRIL SODIUM 10MG ORAL,90
287,MESALAMINE 800MG DR TABLET,MESALAMINE 800MG ORAL,86
288,ACYCLOVIR 800MG TABLET,ACYCLOVIR 800MG ORAL,86
289,CLARAVIS 40MG CAPSULE,,-1
290,MIRTAZAPINE 45MG TABLET,MIRTAZAPINE 45MG ORAL,86
291,AMLODIPINE-BENAZEPRIL 5-40MG,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 5MG BASE;40MG ORAL,96
292,CARBIDOPA-LEVODOPA-ENTACAPONE 37.5-150-200MG TABLET,"CARBIDOPA, LEVODOPA AND ENTACAPONE 37.5MG;200MG;150MG ORAL",87
293,CARVEDILOL 6.25MG TABLET,CARVEDILOL 6.25MG ORAL,87
294,ISONIAZID 300MG TABLET,ISONIAZID 300MG ORAL,86
295,PREDNISONE 10MG TABLET,PREDNISONE 10MG ORAL,86
296,PROPAFENONE HCL ER 225MG CAP,,-1
297,TROKENDI XR 25MG CAPSULE,TROKENDI XR 25MG ORAL,86
298,PRIMIDONE 50MG TABLET,,-1
299,IRBESARTAN-HYDROCHLOROTHIAZIDE 300-12.5MG TB,HYDROCHLOROTHIAZIDE 12.5MG ORAL,91
300,"VITAMIN D2 1.25MG(50,000 UNIT)",,-1
301,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
302,MODAFINIL 100MG TABLET,MODAFINIL 100MG ORAL,86
303,COMPLERA TABLET,,-1
304,ALLERGY RELIEF 25MG CAPSULE,,-1
305,VICTOZA 2-PAK 18MG/3ML PEN,,-1
306,NORTRIPTYLINE HCL 10MG CAP,,-1
307,VENLAFAXINE HCL ER 150MG CAP,,-1
308,BACLOFEN 20MG TABLET,,-1
309,FAMOTIDINE 40MG/5ML SUSP,FAMOTIDINE 40MG/5ML ORAL,88
310,ECONAZOLE NITRATE 1% CREAM,ECONAZOLE NITRATE 1% TOPICAL,86
311,SIMVASTATIN 5MG TABLET,SIMVASTATIN 5MG ORAL,86
312,ROSUVASTATIN CALCIUM 40MG TABLET,ROSUVASTATIN CALCIUM 40MG ORAL,91
313,GLYBURIDE-METFORMIN 5-500MG,GLYBURIDE AND METFORMIN HYDROCHLORIDE 2.5MG;500MG ORAL,96
314,QC CHILD PAIN RLF 160MG/5ML,,-1
315,GLIMEPIRIDE 1MG TABLET,GLIMEPIRIDE 1MG ORAL,86
316,LORAZEPAM 0.5MG TABLET,LORAZEPAM 0.5MG ORAL,86
317,LIDOCAINE-PRILOCAINE CREAM,LIDOCAINE AND PRILOCAINE 2.5%;2.5% TOPICAL,87
318,DICLOFENAC 1.5% TOPICAL SOLUTION,DICLOFENAC SODIUM 1.5% TOPICAL,87
319,LOSARTAN POTASSIUM 100MG TABLET,LOSARTAN POTASSIUM 100MG ORAL,91
320,QUETIAPINE FUMARATE 300MG TABLET,QUETIAPINE FUMARATE EQ 300MG BASE ORAL,88
321,AMOX-CLAV 200-28.5MG/5ML SUS,,-1
322,DIGITEK 125MCG TABLET,,-1
323,MEGESTROL 20MG TABLET,,-1
324,AMITRIPTYLINE HCL 75MG TABLET,,-1
325,DILTIAZEM 24HR ER 120MG CAP,,-1
326,EPLERENONE 25MG TABLET,EPLERENONE 25MG ORAL,86
327,ETHYNODIOL-ETH ESTRA 1MG-35MCG,,-1
328,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
329,EPLERENONE 25MG TABLET,EPLERENONE 25MG ORAL,86
330,DICLOFENAC SOD DR 75MG TABLET,,-1
331,FUROSEMIDE 80MG TABLET,FUROSEMIDE 80MG ORAL,86
332,MOVANTIK 25MG TABLET,,-1
333,"SYNJARDY 5-1,000MG TABLET",,-1
334,LISINOPRIL 40MG TABLET,LISINOPRIL 40MG ORAL,86
335,IMATINIB MESYLATE 400MG TABLET,IMATINIB MESYLATE EQ 400MG BASE ORAL,87
336,NICOTINE 2MG CHEWING GUM,,-1
337,TRANSDERM-SCOP 1.5MG (1MG/3D),,-1
338,CLOBETASOL 0.05% OINTMENT,,-1
339,SILVER SULFADIAZINE 1% CREAM,,-1
340,"OMEPRAZOLE-BICARB 40-1,100 CAP",,-1
341,ISONIAZID 300MG TABLET,ISONIAZID 300MG ORAL,86
342,NICORETTE 4MG CHEWING GUM,,-1
343,OLMSRTN-AMLDPN-HYDROCHLOROTHIAZIDE 20-5-12.5,,-1
344,VORICONAZOLE 200MG TABLET,VORICONAZOLE 200MG ORAL,88
345,URSODIOL 250MG TABLET,,-1
346,NICOTINE 4MG LOZENGE,,-1
347,DESLORATADINE 5MG TABLET,DESLORATADINE 5MG ORAL,87
348,METRONIDAZOLE 500MG TABLET,METRONIDAZOLE 500MG ORAL,88
349,HM EAR WAX REMOVAL 6.5% DROPS,,-1
350,CLOMIPHENE CITRATE 50MG TABLET,CLOMIPHENE CITRATE 50MG ORAL,90
351,MAPAP 160MG/5ML LIQUID,,-1
352,QUETIAPINE FUMARATE 200MG TABLET,QUETIAPINE FUMARATE EQ 200MG BASE ORAL,88
353,ACZONE 7.5% GEL PUMP,,-1
354,LISINOPRIL 2.5MG TABLET,LISINOPRIL 2.5MG ORAL,86
355,AMOX-CLAV 600-42.9MG/5ML SUS,,-1
356,VENLAFAXINE HCL 25MG TABLET,,-1
357,METOPROLOL SUCC ER 25MG TABLET,,-1
358,QC NON-ASPIRIN PAIN RELIEF TB,,-1
359,TRANSDERM-SCOP 1.5MG (1MG/3D),,-1
360,RAMIPRIL 10MG CAPSULE,,-1
361,BENZOYL PEROXIDE 10% WASH,,-1
362,DESONIDE 0.05% LOTION,,-1
363,GENTEAL TEARS SEVERE 0.3% GEL,,-1
364,OLANZAPINE 2.5MG TABLET,OLANZAPINE 2.5MG ORAL,86
365,OXYMORPHONE HCL ER 40MG TABLET,,-1
366,PAROXETINE ER 12.5MG TABLET,,-1
367,CROMOLYN 100MG/5ML ORAL CONC,CROMOLYN SODIUM 100MG/5ML ORAL,90
368,FLU-SEVERE COLD-COUGH DAY PKT,,-1
369,ACYCLOVIR 400MG TABLET,ACYCLOVIR 400MG ORAL,86
370,DOXYCYCLINE HYCLATE 100MG TABLET,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL,88
371,FLUCONAZOLE 40MG/ML SUSP,,-1
372,METHYLPHENIDATE 5MG TABLET,,-1
373,DEXTROAMPHETAMINE ER 15MG CAP,DEXTROAMPHETAMINE SULFATE 15MG ORAL,86
374,AMITRIPTYLINE HCL 50MG TABLET,,-1
375,IRBESARTAN 75MG TABLET,IRBESARTAN 75MG ORAL,86
376,ZETIA 10MG TABLET,,-1
377,MEDROXYPROGESTERONE 5MG TABLET,MEDROXYPROGESTERONE ACETATE 2.5MG ORAL,87
378,LISINOPRIL 30MG TABLET,LISINOPRIL 30MG ORAL,86
379,RISPERIDONE 1MG TABLET,RISPERIDONE 1MG ORAL,86
380,AMLODIPINE-BENAZEPRIL 2.5-10,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,90
381,BENZTROPINE MES 1MG TABLET,,-1
382,AMLODIPINE BESYLATE 10MG TABLET,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE EQ 2.5MG BASE;10MG ORAL,87
383,RIVASTIGMINE 4.5MG CAPSULE,,-1
384,ESCITALOPRAM 10MG TABLET,,-1
385,ENALAPRIL MALEATE 10MG TABLET,ENALAPRIL MALEATE 10MG ORAL,90
386,SPIRONOLACTONE 100MG TABLET,SPIRONOLACTONE 100MG ORAL,89
387,AMLODIPINE-ATORVAST 10-20MG,,-1
388,PINDOLOL 5MG TABLET,,-1
389,TRETINOIN 0.1% CREAM,,-1
390,OMEPRAZOLE DR 40MG CAPSULE,OMEPRAZOLE 40MG ORAL,86
