,ndc_description_agg
51,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
52,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
53,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
54,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
55,ADVAIR HFA 0.045MG/INH;EQ 0.021MG BASE/INH INHALATION
56,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
57,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
58,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
59,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
60,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
61,ADVAIR HFA 0.115MG/INH;EQ 0.021MG BASE/INH INHALATION
62,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
63,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
64,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
65,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
66,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
67,ADVAIR HFA 0.23MG/INH;EQ 0.021MG BASE/INH INHALATION
68,AEROBID 0.25MG/INH INHALATION
69,AEROSPAN HFA 0.078MG/INH INHALATION
70,ALBUTEROL 0.09MG/INH INHALATION
71,ALBUTEROL 0.09MG/INH INHALATION
72,ALBUTEROL 0.09MG/INH INHALATION
73,ALBUTEROL 0.09MG/INH INHALATION
74,ALUPENT 0.65MG/INH INHALATION
75,ALVESCO 0.08MG/INH INHALATION
76,ALVESCO 0.16MG/INH INHALATION
77,ASMANEX HFA 0.10MG/INH INHALATION
78,ASMANEX HFA 0.20MG/INH INHALATION
79,ATROPINE SULFATE EQ 0.36MG BASE/INH INHALATION
80,ATROVENT 0.018MG/INH INHALATION
81,ATROVENT HFA 0.021MG/INH INHALATION
82,ATROVENT HFA 0.021MG/INH INHALATION
83,ATROVENT HFA 0.021MG/INH INHALATION
84,AZMACORT 0.1MG/INH INHALATION
85,BECLOVENT 0.042MG/INH INHALATION
86,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
87,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
88,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
89,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
90,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
91,BEVESPI AEROSPHERE 0.0048MG/INH;0.0090MG/INH INHALATION
92,BRETHAIRE 0.2MG/INH INHALATION
93,BRICANYL 0.2MG/INH INHALATION
94,BRONCHO SALINE 0.9% INHALATION
95,BRONITIN MIST 0.3MG/INH INHALATION
96,BRONKAID MIST 0.25MG/INH INHALATION
97,BRONKOMETER 0.34MG/INH INHALATION
98,COMBIVENT EQ 0.09MG BASE/INH;0.018MG/INH INHALATION
99,DEXACORT EQ 0.1MG PHOSPHATE/INH INHALATION
100,DULERA 0.005MG/INH;0.1MG/INH INHALATION
101,DULERA 0.005MG/INH;0.1MG/INH INHALATION
102,DULERA 0.005MG/INH;0.1MG/INH INHALATION
103,DULERA 0.005MG/INH;0.1MG/INH INHALATION
104,DULERA 0.005MG/INH;0.1MG/INH INHALATION
105,DULERA 0.005MG/INH;0.1MG/INH INHALATION
106,DULERA 0.005MG/INH;0.1MG/INH INHALATION
107,DULERA 0.005MG/INH;0.1MG/INH INHALATION
108,DULERA 0.005MG/INH;0.2MG/INH INHALATION
109,DULERA 0.005MG/INH;0.2MG/INH INHALATION
110,DULERA 0.005MG/INH;0.2MG/INH INHALATION
111,DULERA 0.005MG/INH;0.2MG/INH INHALATION
112,DULERA 0.005MG/INH;0.2MG/INH INHALATION
113,DULERA 0.005MG/INH;0.2MG/INH INHALATION
114,DULERA 0.005MG/INH;0.2MG/INH INHALATION
115,DULERA 0.005MG/INH;0.2MG/INH INHALATION
116,DUO-MEDIHALER 0.16MG/INH;0.24MG/INH INHALATION
117,EPINEPHRINE 0.2MG/INH INHALATION
118,FLOVENT 0.044MG/INH INHALATION
119,FLOVENT 0.11MG/INH INHALATION
120,FLOVENT 0.22MG/INH INHALATION
121,FLOVENT HFA 0.044MG/INH INHALATION
122,FLOVENT HFA 0.044MG/INH INHALATION
123,FLOVENT HFA 0.044MG/INH INHALATION
124,FLOVENT HFA 0.044MG/INH INHALATION
125,FLOVENT HFA 0.044MG/INH INHALATION
126,FLOVENT HFA 0.044MG/INH INHALATION
127,FLOVENT HFA 0.11MG/INH INHALATION
128,FLOVENT HFA 0.11MG/INH INHALATION
129,FLOVENT HFA 0.11MG/INH INHALATION
130,FLOVENT HFA 0.11MG/INH INHALATION
131,FLOVENT HFA 0.11MG/INH INHALATION
132,FLOVENT HFA 0.11MG/INH INHALATION
133,FLOVENT HFA 0.11MG/INH INHALATION
134,FLOVENT HFA 0.11MG/INH INHALATION
135,FLOVENT HFA 0.22MG/INH INHALATION
136,FLOVENT HFA 0.22MG/INH INHALATION
137,FLOVENT HFA 0.22MG/INH INHALATION
138,FLOVENT HFA 0.22MG/INH INHALATION
139,FLOVENT HFA 0.22MG/INH INHALATION
140,FLOVENT HFA 0.22MG/INH INHALATION
141,INTAL 0.8MG/INH INHALATION
142,ISOETHARINE MESYLATE 0.34MG/INH INHALATION
143,ISOPROTERENOL HYDROCHLORIDE 0.12MG/INH INHALATION
144,ISOPROTERENOL HYDROCHLORIDE 0.12MG/INH INHALATION
145,ISUPREL 0.103MG/INH INHALATION
146,MAXAIR EQ 0.2MG BASE/INH INHALATION
147,MAXAIR EQ 0.2MG BASE/INH INHALATION
148,MEDIHALER ERGOTAMINE 0.36MG/INH INHALATION
149,MEDIHALER-EPI 0.3MG/INH INHALATION
150,MEDIHALER-ISO 0.08MG/INH INHALATION
151,PRIMATENE MIST 0.125MG/INH INHALATION
152,PRIMATENE MIST 0.2MG/INH INHALATION
153,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
154,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
155,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
156,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
157,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
158,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
159,PROAIR HFA EQ 0.09MG BASE/INH INHALATION
160,PROVENTIL 0.09MG/INH INHALATION
161,PROVENTIL-HFA EQ 0.09MG BASE/INH INHALATION
162,QVAR 40 0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
163,QVAR 40 0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
164,QVAR 40 0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
165,QVAR 40 0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
166,QVAR 40 0.04MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
167,QVAR 80 0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
168,QVAR 80 0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
169,QVAR 80 0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
170,QVAR 80 0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
171,QVAR 80 0.08MG/INH **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** INHALATION
172,QVAR REDIHALER 0.04MG/INH INHALATION
173,QVAR REDIHALER 0.04MG/INH INHALATION
174,QVAR REDIHALER 0.04MG/INH INHALATION
175,QVAR REDIHALER 0.04MG/INH INHALATION
176,QVAR REDIHALER 0.04MG/INH INHALATION
177,QVAR REDIHALER 0.04MG/INH INHALATION
178,QVAR REDIHALER 0.08MG/INH INHALATION
179,QVAR REDIHALER 0.08MG/INH INHALATION
180,QVAR REDIHALER 0.08MG/INH INHALATION
181,QVAR REDIHALER 0.08MG/INH INHALATION
182,QVAR REDIHALER 0.08MG/INH INHALATION
183,QVAR REDIHALER 0.08MG/INH INHALATION
184,SEREVENT EQ 0.021MG BASE/INH INHALATION
185,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
186,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
187,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
188,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
189,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
190,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
191,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
192,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
193,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
194,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
195,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
196,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
197,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
198,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
199,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
200,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
201,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
202,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
203,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
204,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
205,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
206,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
207,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
208,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
209,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
210,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
211,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
212,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
213,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
214,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
215,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
216,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
217,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
218,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
219,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
220,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
221,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
222,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
223,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
224,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
225,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
226,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
227,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
228,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
229,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
230,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
231,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
232,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
233,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
234,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
235,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
236,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
237,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
238,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
239,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
240,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
241,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
242,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
243,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
244,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
245,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
246,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
247,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
248,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
249,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
250,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
251,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
252,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
253,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
254,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
255,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
256,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
257,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
258,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
259,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
260,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
261,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
262,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
263,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
264,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
265,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
266,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
267,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
268,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
269,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
270,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
271,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
272,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
273,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
274,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
275,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
276,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
277,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
278,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
279,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
280,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
281,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
282,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
283,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
284,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
285,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
286,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
287,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
288,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
289,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
290,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
291,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
292,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
293,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
294,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
295,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
296,SYMBICORT 0.08MG/INH;0.0045MG/INH INHALATION
297,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
298,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
299,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
300,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
301,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
302,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
303,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
304,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
305,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
306,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
307,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
308,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
309,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
310,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
311,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
312,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
313,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
314,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
315,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
316,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
317,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
318,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
319,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
320,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
321,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
322,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
323,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
324,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
325,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
326,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
327,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
328,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
329,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
330,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
331,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
332,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
333,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
334,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
335,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
336,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
337,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
338,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
339,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
340,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
341,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
342,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
343,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
344,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
345,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
346,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
347,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
348,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
349,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
350,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
351,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
352,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
353,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
354,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
355,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
356,SYMBICORT 0.16MG/INH;0.0045MG/INH INHALATION
357,TILADE 1.75MG/INH INHALATION
358,TORNALATE 0.37MG/INH INHALATION
359,VANCERIL 0.042MG/INH INHALATION
360,VANCERIL DOUBLE STRENGTH 0.084MG/INH INHALATION
361,VENTOLIN 0.09MG/INH INHALATION
362,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
363,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
364,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
365,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
366,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
367,VENTOLIN HFA EQ 0.09MG BASE/INH INHALATION
368,XOPENEX HFA EQ 0.045MG BASE/INH INHALATION
369,XOPENEX HFA EQ 0.045MG BASE/INH INHALATION
370,BECONASE 0.042MG/INH NASAL
371,NASACORT 0.055MG/INH NASAL
372,QNASL 0.04MG/ACTUATION NASAL
373,QNASL 0.04MG/ACTUATION NASAL
374,QNASL 0.08MG/ACTUATION NASAL
375,QNASL 0.08MG/ACTUATION NASAL
376,RHINOCORT 0.032MG/INH NASAL
377,VANCENASE 0.042MG/INH NASAL
378,ZETONNA 0.037MG/INH NASAL
379,CORTIFOAM 10% RECTAL
380,NITROMIST 0.4MG/SPRAY SUBLINGUAL
381,EPIFOAM 1%;1% TOPICAL
382,EXIDINE 4% TOPICAL
383,HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1% 1%;1% TOPICAL
384,PROCTOFOAM HC 1%;1% TOPICAL
385,SCLEROSOL 4GM/SPRAY INTRAPLEURAL
386,DEXACORT EQ 0.1MG PHOSPHATE/INH NASAL
387,XYLOCAINE 10% ORAL
388,NITROLINGUAL 0.4MG/SPRAY SUBLINGUAL
389,AEROSEB-DEX 0.01% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** TOPICAL
390,AEROSEB-HC 0.5% TOPICAL
391,DECASPRAY 0.04% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** TOPICAL
392,"POLYSPORIN 10,000 UNITS/GM;2,000,000 UNITS/GM TOPICAL"
393,RID MOUSSE 4%;EQ 0.33% BASE TOPICAL
394,SEPTISOL 0.23% TOPICAL
395,TURGEX 3% TOPICAL
396,DELFEN 12.5% VAGINAL
397,CHOLYBAR EQ 4GM RESIN/BAR ORAL
398,CHOLYBAR EQ 4GM RESIN/BAR ORAL
399,WELCHOL 3.75GM ORAL
400,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN 500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG ORAL"
401,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN 500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG ORAL"
402,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN 500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG ORAL"
403,"PREVPAC 500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG ORAL"
404,DOXYCYCLINE HYCLATE EQ 100MG BASE ORAL
405,"PREVACID NAPRAPAC 250 (COPACKAGED) 15MG,N/A;N/A,250MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons** ORAL"
406,"PREVACID NAPRAPAC 375 (COPACKAGED) 15MG,N/A;N/A,375MG ORAL"
407,"PREVACID NAPRAPAC 500 (COPACKAGED) 15MG,N/A;N/A,500MG ORAL"
408,CYMBALTA EQ 20MG BASE ORAL
409,CYMBALTA EQ 20MG BASE ORAL
410,CYMBALTA EQ 30MG BASE ORAL
411,CYMBALTA EQ 30MG BASE ORAL
412,CYMBALTA EQ 60MG BASE ORAL
413,CYMBALTA EQ 60MG BASE ORAL
414,DEPAKOTE EQ 125MG VALPROIC ACID ORAL
415,DIDANOSINE 125MG ORAL
416,DIDANOSINE 200MG ORAL
417,DIDANOSINE 250MG ORAL
418,DIDANOSINE 400MG ORAL
419,DIDANOSINE 200MG ORAL
420,DIDANOSINE 250MG ORAL
421,DIDANOSINE 400MG ORAL
422,DIDANOSINE 125MG ORAL
423,DIDANOSINE 200MG ORAL
424,DIDANOSINE 250MG ORAL
425,DIDANOSINE 400MG ORAL
426,DIVALPROEX SODIUM EQ 125MG VALPROIC ACID ORAL
427,DIVALPROEX SODIUM EQ 125MG VALPROIC ACID ORAL
428,DIVALPROEX SODIUM EQ 125MG VALPROIC ACID ORAL
429,DULOXETINE HYDROCHLORIDE EQ 20MG BASE ORAL
430,DULOXETINE HYDROCHLORIDE EQ 30MG BASE ORAL
431,DULOXETINE HYDROCHLORIDE EQ 60MG BASE ORAL
432,DULOXETINE HYDROCHLORIDE EQ 20MG BASE ORAL
433,DULOXETINE HYDROCHLORIDE EQ 30MG BASE ORAL
434,DULOXETINE HYDROCHLORIDE EQ 40MG BASE ORAL
435,DULOXETINE HYDROCHLORIDE EQ 60MG BASE ORAL
436,DULOXETINE HYDROCHLORIDE EQ 20MG BASE ORAL
437,DULOXETINE HYDROCHLORIDE EQ 30MG BASE ORAL
438,DULOXETINE HYDROCHLORIDE EQ 60MG BASE ORAL
439,DULOXETINE HYDROCHLORIDE EQ 20MG BASE ORAL
440,DULOXETINE HYDROCHLORIDE EQ 30MG BASE ORAL
